Equipamento;Hora;Latitude;Longitude
7037;1900-01-01 15:14:08;-18.905628204;-49.477326711
7037;1900-01-01 15:14:09;-18.905631383;-49.477333069
7037;1900-01-01 15:15:54;-18.905939738;-49.478223165
7037;1900-01-01 15:16:30;-18.905981064;-49.478407542
7037;1900-01-01 15:16:31;-18.905977885;-49.478407542
7037;1900-01-01 15:17:03;-18.905701319;-49.478375753
7037;1900-01-01 15:17:04;-18.905707677;-49.478375753
7037;1900-01-01 15:17:08;-18.905714035;-49.478394826
7037;1900-01-01 15:17:10;-18.905710856;-49.478388468
7037;1900-01-01 15:17:40;-18.905656815;-49.478254954
7037;1900-01-01 15:17:48;-18.905650457;-49.478248596
7037;1900-01-01 15:19:19;-18.905564626;-49.477371216
7037;1900-01-01 15:19:32;-18.905605952;-49.477345785
7037;1900-01-01 15:19:34;-18.905605952;-49.477345785
7037;1900-01-01 15:20:01;-18.905672709;-49.477466583
7037;1900-01-01 15:20:03;-18.905672709;-49.477466583
7037;1900-01-01 15:21:24;-18.905946096;-49.478369395
7037;1900-01-01 15:21:41;-18.905955633;-49.478401184
7037;1900-01-01 15:21:42;-18.905955633;-49.478407542
7037;1900-01-01 15:22:15;-18.905726751;-49.478394826
7037;1900-01-01 15:22:16;-18.905723572;-49.478394826
7037;1900-01-01 15:22:37;-18.905691783;-49.478318532
7037;1900-01-01 15:22:40;-18.905688604;-49.478318532
7037;1900-01-01 15:24:10;-18.905510585;-49.477434794
7037;1900-01-01 15:24:23;-18.905612310;-49.477383931
7037;1900-01-01 15:24:24;-18.905609131;-49.477377574
7037;1900-01-01 15:24:55;-18.905679067;-49.477492015
7037;1900-01-01 15:25:06;-18.905675888;-49.477498372
7037;1900-01-01 15:26:35;-18.905955633;-49.478394826
